City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,User_Token
Espoo,Uusimaa,Finland,2150,60.1785,24.8348,Europe/Helsinki,NESTE,,,e10269e85a2b
,,,,,,,,,,342a235d6123
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,50de5e022ec5
Giza,Giza,Egypt,,30.0482,31.2062,Africa/Cairo,Etisalat FBB,,AS36992 ETISALAT MISR,ce3aca0bcd65
Hong Kong,Kowloon,Hong Kong,96521,22.3193,114.169,Asia/Hong_Kong,"Alibaba (US) Technology Co., Ltd.",Alibaba Cloud LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",bfce5d7d68dc
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,7bd486b70bd1
Mumbai,Maharashtra,India,400037,19.0748,72.8856,Asia/Kolkata,Tata Communications Limited,Tata Communications Limited,AS4755 TATA Communications formerly VSNL is Leading ISP,fc498525a213
Toronto,Ontario,Canada,M5A,43.6447,-79.3841,America/Toronto,Google LLC,Google LLC,AS19527 Google LLC,bcb6ce26ea95
Méchouar de Casablanca,Casablanca-Settat,Morocco,,33.5304,-7.64447,Africa/Casablanca,Orange Morocco,,AS36925 MEDITELECOM,d17e77e8eeb7
Chennai,Tamil Nadu,India,600001,13.0827,80.2707,Asia/Kolkata,Tata Communications Limited,Tata Communications Limited,AS4755 TATA Communications formerly VSNL is Leading ISP,dc88687fbc66
Rome,Lazio,Italy,187,41.9626,12.4644,Europe/Rome,Telecom Italia S.p.A,INTERBUSINESS,AS3269 Telecom Italia S.p.A.,36e166445dce
,,,,,,,,,,3575ebf3c4b1
Randburg,Gauteng,South Africa,2032,-26.1506,27.9321,Africa/Johannesburg,MTN SA,MTN SA,AS12091 MTN SA,6b63ff416beb
,,,,,,,,,,bf7aa279d275
Singapore,Central Singapore,Singapore,,1.28181,103.85,Asia/Singapore,Cargill Asia Pacific Holdings Pte Ltd,Cargill Asia Pacific Holdings Pte Ltd,,9e1390706bab
Weifang,Shandong,China,261000,36.7069,119.162,Asia/Shanghai,China Unicom CHINA169 Shandong Province Network,,AS4837 CHINA UNICOM China169 Backbone,03124c14eaf2
Edmonton,Alberta,Canada,T6M,53.4593,-113.6546,America/Edmonton,University of Alberta,University of Alberta,AS3359 University of Alberta,bdfa5bef223f
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS721 DoD Network Information Center,a819ee12c804
Ebene CyberCity,Plaines Wilhems District,Mauritius,,-20.2431,57.4962,Indian/Mauritius,African Network Information Center - ( AfriNIC Ltd. ),,,af0d22124afd
Hefei,Anhui,China,,31.851,117.151,Asia/Shanghai,Chinanet,Chinanet AH,AS4134 CHINANET-BACKBONE,7f8a2e1e6a50
Minato-ku,Tokyo,Japan,206-0042,35.6673,139.751,Asia/Tokyo,"NTT PC Communications, Inc.","NTT PC Communications, Inc.","AS2514 NTT PC Communications, Inc.",65a85f7bdcd3
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,53dc409b5dcf
Bratislava,Bratislava Region,Slovakia,811 08,48.157,17.0915,Europe/Bratislava,Liberty Global B.V.,UPC Slovakia,AS6830 Liberty Global B.V.,d1dcb813a617
Reston,Virginia,United States,20190,38.9586,-77.357,America/New_York,OVH SAS,OVH US LLC,AS16276 OVH SAS,95d565151a64
Lagos,Lagos,Nigeria,,6.46529,3.42517,Africa/Lagos,Airtel Networks Limited,Airtel Networks Limited,,2e28ede7b06a
Kiryū,Gunma,Japan,379-2301,36.3865,139.321,Asia/Tokyo,SUN FIELD INTERNET,"RYOMO INTERNET DATACENTER Co., Ltd",AS23785 SUN FIELD INTERNET LIMITED,ed3e5e58b596
Denver,Colorado,United States,80221,39.8334,-105.004,America/Denver,Lockheed Martin Corporation,Lockheed Martin Corporation,,58a7ea78cfa9
Dayton,New Jersey,United States,8810,40.3864,-74.5111,America/New_York,Verizon Business,Verizon Online LLC,AS701 Verizon Business,98d819ff60dc
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,c9068943cf2b
Lagos,Lagos,Nigeria,,6.46529,3.42517,Africa/Lagos,Airtel Networks Limited,Airtel Networks Limited,,c30bb1f82c39
Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,f076e472e04e
Lake Mary,Florida,United States,32746,28.7444,-81.3599,America/New_York,AT&T Global Network Services,"AT&T Global Network Services, LLC",,e2730c415452
Lexington,Massachusetts,United States,2421,42.4378,-71.2239,America/New_York,Verizon Business,Verizon Business,AS22394 Verizon Business,e7d8d015ffcd
,,,,,,,,,,36fe93d8e678
Bolivar,Missouri,United States,65613,37.6112,-93.414,America/Chicago,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,53c385454d19
Cambridge,Massachusetts,United States,2139,42.3649,-71.0987,America/New_York,Massachusetts Institute of Technology,Massachusetts Institute of Technology,AS3 Massachusetts Institute of Technology,4fbd64bf68fe
Lehi,Utah,United States,84043,40.3942,-111.8483,America/Denver,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS33660 Comcast Cable Communications, LLC",c9fda1ac7e65
,,,,,,,,,,eb8f7590c6df
Yingge District,Taipei,Taiwan,,24.9493,121.337,Asia/Taipei,TANET,,AS1659 Taiwan Academic Network (TANet) Information Center,ae325c3c1dee
Little Rock,Arkansas,United States,72255,34.7448,-92.2883,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",75d533a2340b
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,05f17367fab9
Yintai,Shaanxi,China,,35.394,109.188,Asia/Shanghai,Chinanet,Chinanet SN,AS4134 CHINANET-BACKBONE,8f3265470eb8
Little Rock,Arkansas,United States,72212,34.7867,-92.3969,America/Chicago,Windstream Communications LLC,Windstream Communications LLC,,238ad861c3d6
Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,,73ff32afe1dc
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"Level 3 Communications, Inc.","Level 3, LLC","AS3549 Level 3 Parent, LLC",e26dcb0a78ee
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Bloomberg Financial Market,Bloomberg Financial Market,,7e4ca9f0275a
Buenos Aires,Buenos Aires F.D.,Argentina,1871,-34.6037,-58.3816,America/Argentina/Buenos_Aires,Telecom Argentina S.A.,Telecom Personal Bs,AS7303 Telecom Argentina S.A.,a537c0c9b564
,,,,,,,,,,5419888a78a6
North Sydney,New South Wales,Australia,2060,-33.8369,151.206,Australia/Sydney,VODAFONE,Vodafone Australia Pty Ltd,,9b66416506c4
Brussels,Brussels Capital,Belgium,1000,50.8503,4.35171,Europe/Brussels,Orange Business Communications Technology Limited,Orange Business Communications Technology Limited,,e50ea6b4b226
Shanghai,Shanghai,China,,31.2222,121.4581,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group),aad22de9e79a
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,b17a6b7c4b4c
Nakatsu,Ōsaka,Japan,531-0071,34.7146,135.4892,Asia/Tokyo,JCOM,"Jupiter Telecommunications Co., Ltd.","AS9617 JCOM Co., Ltd.",b4b1c8610eb3
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Corporation,Microsoft Limited,AS8075 Microsoft Corporation,15e94b9a4480
Vientiane,Vientiane Prefecture,Laos,,17.9698,102.612,Asia/Vientiane,Lao Telecommunication Co Ltd,Lao Telecommunication Co Ltd,"AS9873 Lao Telecom Communication, LTC",ba340af90320
Marina,California,United States,93933,36.6841,-121.7886,America/Los_Angeles,California State University,Moss Landing Marine Laboratory,"AS2152 California State University, Office of the Chancellor",ed7e80e7e42f
Thiruvananthapuram,Kerala,India,695581,8.55909,76.8791,Asia/Kolkata,Indian Institute of Information Technology and Management - Kerala,Indian Institute of Information Technology and Management - Kerala,"AS140192 IIITM-Kerala, IIITM-K Building, Techno park Campus,Thiruvananthapuram,Kerala-695581",597ba5d79587
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,China TieTong Telecommunications Corporation,China TieTong Telecommunications Corporation,AS9394 China TieTong Telecommunications Corporation,89fbbc749db1
Denver,Colorado,United States,80294,39.7523,-104.984,America/Denver,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS7922 Comcast Cable Communications, LLC",25c211268fb0
Sunnyvale,California,United States,94085,37.3867,-122.038,America/Los_Angeles,HCL AMERICA INC,HCL AMERICA INC,AS36224 HCL AMERICA INC,d083d143da8c
Ostrava,Moravskoslezsky kraj,Czechia,700 30,49.7977,18.2311,Europe/Prague,Karneval Media,"UPC Ceska republika, a.s.",AS16019 Vodafone Czech Republic a.s.,3a240b186ea1
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,,e77370b74361
,,,,,,,,,,7d19bce191fe
Venice,Veneto,Italy,30125,45.4408,12.3155,Europe/Rome,INTERBUSINESS,NAS DHCP Pool VENEZIA,AS3269 Telecom Italia S.p.A.,5d388f28b6c5
Nea Smyrni,Attica,Greece,,37.9433,23.7098,Europe/Athens,Vodafone-panafon Hellenic Telecommunications Company SA,Assignments for Always-On Services,AS3329 VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA,99790d3aa14e
Kigali,Kigali,Rwanda,,-1.9507,30.0663,Africa/Kigali,MTN Rwandacell,Pppoe Staticip,AS36890 MTN Rwandacell,9075d9b1115a
Bucharest,București,Romania,23482,44.4152,26.166,Europe/Bucharest,Euroweb Romania,SC FSP Global SRL,AS6663 Euroweb Romania S.R.L.,42fa1a69e92f
Kansas City,Missouri,United States,,39.0997,-94.5785,America/Chicago,Google LLC,Google Cloud,AS396982 Google LLC,a7dd6bf05313
Gangnam-gu,Seoul,South Korea,60,37.5245,127.0354,Asia/Seoul,SK Broadband Co Ltd,SK Broadband Co Ltd,AS9318 SK Broadband Co Ltd,32357ba18fd2
Angers,Pays de la Loire,France,49100,47.4704,-0.5463,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,Ncnumericable,AS15557 Societe Francaise Du Radiotelephone - SFR SA,bb3a62e50fa4
Angoulême,Nouvelle-Aquitaine,France,16000,45.6484,0.156237,Europe/Paris,Celeste SAS,Oceanettechnology,AS20926 CELESTE SAS,c4312c593b27
Gretna,Virginia,United States,24557,36.9677,-79.3377,America/New_York,Wilkes Communications,WILKE,"AS22191 Wilkes Communications, Inc.",70944a9b2b6b
Seo-gu,Incheon,South Korea,227,37.508,126.665,Asia/Seoul,Korea Telecom,KORNET,AS4766 Korea Telecom,91aa96dc0095
New Providence,New Jersey,United States,7974,40.6848,-74.4024,America/New_York,Nokia of America Corporation,Nokia of America Corporation,AS7345 Nokia of America Corporation,5424999d8a56
Breukelen,Utrecht,The Netherlands,3621,52.1712,5.0065,Europe/Amsterdam,Concepts ICT B.V.,Concepts ICT Holding B.V.,AS1136 KPN B.V.,393554e72c3d
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,2a9816fdac66
Volendam,North Holland,The Netherlands,1131,52.4984,5.0677,Europe/Amsterdam,KPN B.V.,KPN B.V,AS1136 KPN B.V.,fe463777a4c2
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,cc87f0fc8205
Monroe,Louisiana,United States,71203,32.5896,-92.0669,America/Chicago,"Level 3 Communications, Inc.","Level 3, LLC","AS3356 Level 3 Parent, LLC",bc66fca57603
Minato-ku,Tokyo,Japan,105-0012,35.6552,139.761,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,994d65b0bc7e
Seo-gu,Incheon,South Korea,228,37.5488,126.6578,Asia/Seoul,SK-TELECOM,,AS9644 SK Telecom,68f22f472aef
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Limited,Microsoft Limited,,161858b0586f
Singapore,North West,Singapore,858877,1.35208,103.82,Asia/Singapore,"Alibaba (US) Technology Co., Ltd.",Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",dc3535959165
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Corporation,Microsoft Limited,AS8075 Microsoft Corporation,12264763a775
Kaohsiung City,Kaohsiung,Taiwan,,22.6148,120.3139,Asia/Taipei,"Chunghwa Telecom Co., Ltd.",Chunghwa Telecom Co. Ltd.,AS3462 Data Communication Business Group,302ea7a4b315
,,,,,,,,,,2cd9910413f8
Miami,Florida,United States,33132,25.7759,-80.1931,America/New_York,colo4jax,AYK Solutions LLC,,59da1989a49d
Zhengzhou,Henan,China,450000,34.7472,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone,41e02512a725
,,,,,,,,,,3f6d9e785d81
Tbilisi,Tbilisi,Georgia,,41.6959,44.832,Asia/Tbilisi,"JSC ""Silknet""",Silknet - 6,"AS35805 JSC ""Silknet""",69cdee75a531
Prince George,British Columbia,Canada,V2L,53.9128,-122.734,America/Vancouver,ABC Allen Business Communications Ltd,ABC Allen Business Communications Ltd,AS62969 ABC Allen Business Communications Ltd,7ae292a5fde2
Chiyoda,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Expereo International BV,Pfizer Inc,AS15695 Expereo International BV,e063b7bc55ab
Berlin,Land Berlin,Germany,14195,52.4552,13.2807,Europe/Berlin,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,Freie Universitaet Berlin,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,d17f26afeb59
Moscow,Moscow,Russia,101194,55.7315,37.6457,Europe/Moscow,CORBINA-BROADBAND,,"AS8402 PJSC ""Vimpelcom""",2fcf9a094e8c
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,99574c5b68b0
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,abdc7ba1e608
McLean,Virginia,United States,22102,38.9195,-77.2197,America/New_York,GTT Communications Inc.,GTT,AS3257 GTT Communications Inc.,2da885e57195
Washington,District of Columbia,United States,56972,38.894,-77.0365,America/New_York,Cogent Communications,Cogent Communications - IPENG,AS174 Cogent Communications,1d861ec255fb
London,England,United Kingdom,W1B,51.5072,-0.127586,Europe/London,MICROSOFT,Microsoft Limited,AS8075 Microsoft Corporation,2a850aad683e
Indianapolis,Indiana,United States,46204,39.7709,-86.1585,America/Chicago,AT&T Services,"AT&T Services, Inc.",,72ac8d4a7d36
Ann Arbor,Michigan,United States,48108,42.2139,-83.745,America/Detroit,Merit Network Inc.,Merit Network Inc,,1985ae2d2e08
Minato-ku,Tokyo,Japan,104-0045,35.6629,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.,eb881a0d3dea
Seoul,Seoul,South Korea,136792,37.5884,127.006,Asia/Seoul,Korean Education Network,Hangsung University,AS3786 LG DACOM Corporation,5a4dd651e796
Colombo,Western Province,Sri Lanka,500,6.8842,79.8616,Asia/Colombo,Dialog Axiata Plc,Dialog Axiata Plc,AS18001 Dialog Axiata PLC.,82495bfacd7d
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,54560a1652ba
Northampton,Pennsylvania,United States,18067,40.6986,-75.4834,America/New_York,RCN,RCN Corporation,AS6079 RCN,03d811b5f083
Cleveland,Ohio,United States,44192,41.4993,-81.6944,America/New_York,Cogent Communications,Cogent communications - IPENG,AS174 Cogent Communications,b809efb65c21
Shenzhen,Guangdong,China,518000,22.5431,114.058,Asia/Shanghai,China Mobile communications corporation,China Mobile Communications Corporation - shanghai company,"AS9808 China Mobile Communications Group Co., Ltd.",3c15ad326f98
Coulsdon,England,United Kingdom,CR5 1DA,51.305,-0.145585,Europe/London,EDRCNET,RIPE Network Coordination Centre,,ddb1e5ec2671
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,bff42a23b333
Mooresville,Indiana,United States,46158,39.5906,-86.3668,America/Indiana/Indianapolis,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",f1692ddff695
Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,JAPAN,Japan163,,adc87fe36933
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,China Networks Inter-Exchange,The 70st Primary school in beijing,AS4847 China Networks Inter-Exchange,627dd0b3819d
Fremont,California,United States,94536,37.5625,-122.0004,America/Los_Angeles,"Akamai Technologies, Inc.",Linode,AS63949 Akamai Connected Cloud,32f5425413df
Atlanta,Georgia,United States,30303,33.7555,-84.3915,America/New_York,"AT&T Services, Inc.",AT&T Mobility LLC,"AS7018 AT&T Services, Inc.",30af8c42ecf2
Frankfurt am Main,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,6ded9e13e73e
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,22ef9b726f75
,,,,,,,,,,a3f6ba25b95c
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center,5a59cbd249e1
Karachi,Sindh,Pakistan,12311,24.9265,67.0895,Asia/Karachi,Wancom (Pvt) Ltd,Wancom (Pvt) Ltd,,23c5c91de142
,,,,,,,,,,1b5a2316ec77
,,,,,,,,,,736e59b936d1
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,Alibaba.com Singapore E-Commerce Private Limited,Aliyun Computing Co.,,68e2ef5f9286
Amsterdam,North Holland,Netherlands,1047,52.3667,4.9,Europe/Amsterdam,Microsoft Corporation,Microsoft Azure Cloud (westeurope),AS8075 Microsoft Corporation,a3d0a476bf80
Ashburn,Virginia,United States,20147,39.011,-77.4711,America/New_York,Verizon Business,Verizon Business,AS6167 Verizon Business,52a11f929cb4
San Francisco,California,United States,94142,37.7809,-122.4245,America/Los_Angeles,"AT&T Services, Inc.",AT&T Worldnet Services,"AS7018 AT&T Services, Inc.",1cfdc8981779
Pisa,Tuscany,Italy,56127,43.7089,10.4087,Europe/Rome,PISA,Universita' degli Studi di Pisa,AS137 Consortium GARR,3fb4be9a6062
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS721 DoD Network Information Center,a81da59b93d4
Frankfurt am Main,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",09b8006bd33e
Citrus Heights,California,United States,95610,38.6975,-121.2714,America/Los_Angeles,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc","AS33667 Comcast Cable Communications, LLC",a7b50e8e1790
New Taipei,New Taipei,Taiwan,,24.9466,121.586,Asia/Taipei,Taiwan Academic Network (TANet) Information Center,Tanet Bneta,AS1659 Taiwan Academic Network (TANet) Information Center,debb7813a463
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc.",417cee8a94ec
Ashburn,Virginia,United States,20147,39.011,-77.4711,America/New_York,Verizon Online LLC,Verizon Online LLC,,e549a84bfdfb
Dubai,Dubai,United Arab Emirates,,25.264,55.2887,Asia/Dubai,Amwaj Alkhyr Commercial Brokers CO,Amwaj Alkhyr Commercial Brokers CO,,8e08d026e3e6
Dokki,Giza,Egypt,,30.0347,31.2059,Africa/Cairo,TE Data,,AS8452 TE-AS,a8cc478bc6e0
Yogyakarta,Yogyakarta,Indonesia,,-7.8035,110.3646,Asia/Jakarta,PT. TELKOM INDONESIA,,AS7713 PT Telekomunikasi Indonesia,d7e74cc67baf
Kuvandyk,Orenburg Oblast,Russia,462241,51.4796,57.3595,Asia/Yekaterinburg,Orenburg branch office of VolgaTelecom company,OJSC VolgaTelecom,AS12389 PJSC Rostelecom,721ae9157fe1
,,,,,,,,,,f603387066e6
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,85a3fcd0d0a8
Guangzhou,Guangdong,China,,23.1181,113.2539,Asia/Shanghai,Chinanet,Chinanet HB,AS4134 CHINANET-BACKBONE,9587831cefbb
Dublin,Leinster,Ireland,D24,53.2906,-6.41999,Europe/Dublin,Orange Business Communications Technology Limited,Orange Business Communications Technology Limited,,db155ad2464a
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,b78eb5dc1687
Redmond,Washington,United States,98052,47.6722,-122.1257,America/Los_Angeles,Atlas Networks Corporation,Atlas Networks Corporation,AS21743 Atlas Networks Corporation,afbb7aa9dad3
Lębork,Pomerania,Poland,84-300,54.5382,17.7449,Europe/Warsaw,Netia SA,Scorpion Computer Marcin Cygert,AS12741 Netia SA,d81655fdebfd
Grimsby,England,United Kingdom,DN32,53.5621,-0.0808,Europe/London,Virgin Media Limited,Vmcbbuk,AS5089 Virgin Media Limited,621807605de4
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,,159b74ba3443
Yongsan-dong,Seoul,South Korea,4371,37.536,126.971,Asia/Seoul,LG POWERCOMM,LG POWERCOMM,AS17858 LG POWERCOMM,ac6d0b6d0c51
,,,,,,,,,,94fef95c180c
,,,,,,,,,,e282896900df
,,,,,,,,,,6bd0d8f270e9
,,,,,,,,,,61927edd205d
Ashburn,Virginia,United States,20149,39.0438,-77.4874,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-1),"AS14618 Amazon.com, Inc.",e61be922fcc8
,,,,,,,,,,aa2c81c31772
Durban,KwaZulu-Natal,South Africa,4094,-29.9056,30.9405,Africa/Johannesburg,Vodacom UMTS Durban Kwazulu Natal INTERNET APN,,AS29975 Vodacom,2d7db2ac5c83
Xiaolou,Guangdong,China,,23.379,113.763,Asia/Shanghai,CHINANET-GD,Chinanet GD,,ce803ac57e1c
Portland,Oregon,United States,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",1eec7bc0ba37
Tsing Yi,Kwai Tsing,Hong Kong,,22.3484,114.112,Asia/Hong_Kong,HGC Global Communications Limited,HGC Global Communications Limited,AS9304 HGC Global Communications Limited,7c98a18fa892
London,England,United Kingdom,W1B,51.5072,-0.127586,Europe/London,Oracle Svenska AB,Oracle Corporation,AS43894 Oracle Svenska AB,c890342d6dc8
Jersey City,New Jersey,United States,7302,40.7182,-74.0476,America/New_York,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33659 Comcast Cable Communications, LLC",a614a5ce1242
Mooresville,North Carolina,United States,28117,35.5418,-80.8539,America/New_York,Lowe's Companies,"Lowe's Companies, Inc.",,4379d6359777
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS5972 DoD Network Information Center,a93fef9903e2
,,,,,,,,,,b62e9e37f8ae
Montreal,Quebec,Canada,H4X,45.5019,-73.5674,America/Toronto,IBM,IBM,,a0c1078df0bd
Zielona Góra,Lubusz,Poland,65-305,51.9354,15.5082,Europe/Warsaw,Netia SA,NETIA,AS12741 Netia SA,5c2903cbdb3d
New York,New York,United States,10110,40.7537,-73.9809,America/New_York,Windstream Communications LLC,Hafetz & Necheles,AS7029 Windstream Communications LLC,acddca74bb8b
Denver,Colorado,United States,80294,39.7523,-104.984,America/Denver,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS7922 Comcast Cable Communications, LLC",ba98dd2246a0
Amsterdam,North Holland,The Netherlands,1012,52.3676,4.90414,Europe/Amsterdam,Verizon Nederland B.V,NLNET,AS702 Verizon Business,23014bfc452e
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,b1fdaa6615f4
Ankara,Ankara,Türkiye,6090,39.9669,32.8618,Europe/Istanbul,Vodafone Net DSL,,AS15924 Vodafone Net Iletisim Hizmetler AS,55ad12717cd2
,,,,,,,,,,8c0cfc757710
,,,,,,,,,,b1c82de2a500
Orlando,Florida,United States,32816,28.6005,-81.1976,America/New_York,University of Central Florida,University of Central Florida,AS7939 University of Central Florida,30310bf5768f
Kolkata,West Bengal,India,700075,22.518,88.3832,Asia/Kolkata,Hathway IP over Cable Internet Access,Hathway Cable and Datacom Limited,,834135839785
,,,,,,,,,,f13d9b52d357
Chicago,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,AT&T Mobility LLC,AT&T Mobility LLC,AS46164 AT&T Mobility LLC,85d495aa10ff
Châteaubriant,Pays de la Loire,France,44110,47.7201,-1.3806,Europe/Paris,France Telecom,,AS3215 Orange S.A.,faf9b49b53f2
Lachute,Quebec,Canada,J8H,45.6506,-74.3257,America/Toronto,Le Groupe Videotron Ltee,Videotron Ltee,AS5769 Videotron Ltee,12ff0d2900c7
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,56c1e7c98d46
,,,,,,,,,,67b922d380bc
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,5512e3cd53de
Akron,Ohio,United States,44316,41.0592,-81.477,America/New_York,The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,,ea070eec3b68
Chicago,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",83d35c3bd32e
Boston,Massachusetts,United States,2124,42.2904,-71.0712,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS22258 Comcast Cable Communications, LLC",2fb9599a40c0
Oslo,Oslo County,Norway,354,59.9016,10.7343,Europe/Oslo,NextGenTel Network,,AS15659 NextGenTel AS,c32cdf24a16a
Richmond,Kentucky,United States,40475,37.7548,-84.2985,America/New_York,Eastern Kentucky University,Eastern Kentucky University,AS13327 Eastern Kentucky University,b6fb19be5950
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,8bb97782047a
Shibuya,Tokyo,Japan,150-8307,35.6564,139.699,Asia/Tokyo,GMO-BRS,GMO BRAND SECURITY Inc.,,d84926c74de0
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,,896df02ee683
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,6edc7fecf82e
,,,,,,,,,,0f46f4741821
