Device_ID,Device_Type,Network_Type,PLMN,LAI,Avg_Latency_ms,Connection_Drop_Rate_Pct,Linkage_Index
D1884,IoT Device,4G,20620,206-20-8622,41,1.17,967
D1885,IoT Device,4G,310260,310-260-5664,38,0.71,90
D1886,IoT Device,4G,310410,310-410-3852,33,1.26,937
D1887,IoT Device,5G,20620,206-20-5708,26,0.08,2205
D1888,Tablet,4G,20605,206-05-8253,40,0.33,1550
D1889,IoT Device,3G,23433,234-33-5500,98,1.54,541
D1890,Smartphone,3G,20601,206-01-5853,136,3.18,251
D1891,IoT Device,3G,20601,206-01-2524,80,1.25,761
D1892,Smartphone,4G,24024,240-24-4908,70,1.44,2949
D1893,Smartphone,4G,20620,206-20-1715,47,0.28,2854
D1894,Smartphone,4G,24004,240-04-7669,49,0.96,978
D1895,Smartphone,3G,310480,310-480-8632,81,2.01,2487
D1896,Tablet,4G,23433,234-33-4986,40,0.93,909
D1897,IoT Device,5G,20601,206-01-2070,28,0.09,2620
D1898,Smartphone,4G,23430,234-30-2140,69,1.11,2741
D1899,Tablet,5G,20601,206-01-5853,29,0.18,370
D1900,IoT Device,3G,23433,234-33-8155,142,0.62,2104
D1901,Smartphone,4G,310120,310-120-8361,31,0.21,2602
D1902,IoT Device,4G,23438,234-38-1752,66,0.47,29
D1903,IoT Device,5G,23433,234-33-2734,16,0.39,604
D1904,IoT Device,4G,24005,240-05-7930,56,0.97,2442
D1905,IoT Device,4G,310410,310-410-1424,31,0.8,2215
D1906,Tablet,4G,24002,240-02-3621,70,0.86,1871
D1907,IoT Device,3G,20605,206-05-2713,108,1.95,2889
D1908,Tablet,5G,24004,240-04-4502,22,0.16,846
D1909,Smartphone,4G,24024,240-24-7211,34,1.06,1249
D1910,Smartphone,4G,310480,310-480-3050,40,0.72,234
D1911,IoT Device,5G,24002,240-02-7482,25,0.24,2284
D1912,IoT Device,4G,23433,234-33-8682,51,0.95,774
D1913,Tablet,3G,23410,234-10-3153,110,3.08,807
D1914,IoT Device,3G,23410,234-10-5847,110,2.7,1132
D1915,IoT Device,5G,310480,310-480-9476,21,0.49,1675
D1916,Tablet,4G,310260,310-260-1266,38,1.16,2437
D1917,Smartphone,5G,24024,240-24-6511,26,0.29,2356
D1918,Smartphone,4G,24016,240-16-9270,50,0.44,176
D1919,Smartphone,4G,310120,310-120-6780,37,0.47,1169
D1920,Smartphone,4G,20601,206-01-4727,45,0.3,1940
D1921,Smartphone,4G,310480,310-480-3589,33,0.51,1084
D1922,Smartphone,5G,20610,206-10-5503,22,0.43,26
D1923,Smartphone,4G,24024,240-24-2983,56,0.45,221
D1924,IoT Device,3G,310260,310-260-1266,90,2.94,2467
D1925,Smartphone,3G,310260,310-260-4950,143,2.66,549
D1926,Smartphone,4G,310480,310-480-8632,42,1.17,2748
D1927,IoT Device,3G,310260,310-260-9129,133,3.49,1210
D1928,IoT Device,5G,310410,310-410-1510,24,0.25,456
D1929,Smartphone,3G,23410,234-10-5106,109,1.99,1593
D1930,Smartphone,3G,23430,234-30-2140,81,3.34,110
D1931,Smartphone,4G,24007,240-07-7267,62,0.74,1594
D1932,Smartphone,5G,24007,240-07-7939,17,0.12,519
D1933,Smartphone,4G,310260,310-260-2229,52,0.17,240
D1934,IoT Device,4G,310480,310-480-3526,48,0.79,1120
D1935,Tablet,4G,20601,206-01-5118,60,0.5,707
D1936,Smartphone,5G,24008,240-08-9445,10,0.43,1380
D1937,Smartphone,5G,310410,310-410-3068,23,0.08,711
D1938,IoT Device,4G,24007,240-07-4114,46,1.12,422
D1939,Smartphone,4G,24005,240-05-4335,55,0.61,1567
D1940,Smartphone,4G,20605,206-05-8025,55,0.17,1919
D1941,Smartphone,3G,310260,310-260-4950,141,1.08,1648
D1942,IoT Device,4G,24001,240-01-4657,65,0.5,2919
D1943,Smartphone,4G,20610,206-10-5722,54,0.81,393
D1944,Smartphone,4G,310410,310-410-7044,65,0.49,1800
D1945,Tablet,3G,23433,234-33-8155,149,2.54,2731
D1946,IoT Device,4G,310480,310-480-9437,37,0.28,2470
D1947,Smartphone,5G,24001,240-01-6168,13,0.2,1440
D1948,Smartphone,4G,20601,206-01-8800,51,0.88,2264
D1949,IoT Device,3G,23415,234-15-9850,116,2.76,1387
D1950,Smartphone,5G,24016,240-16-3977,16,0.31,2062
D1951,Smartphone,4G,310120,310-120-5469,55,0.8,162
D1952,Smartphone,5G,20610,206-10-2527,11,0.03,2548
D1953,Tablet,4G,23433,234-33-2734,51,1.23,1571
D1954,Smartphone,4G,24024,240-24-8613,63,0.74,1989
D1955,Smartphone,5G,24005,240-05-8973,29,0.45,217
D1956,IoT Device,4G,310120,310-120-8740,38,0.56,306
D1957,Tablet,4G,310120,310-120-9591,69,0.55,99
D1958,Smartphone,3G,23438,234-38-7347,120,3.47,2210
D1959,Smartphone,3G,20601,206-01-8800,108,2.28,2881
D1960,Tablet,4G,20605,206-05-1977,62,1.26,2812
D1961,IoT Device,5G,23430,234-30-8242,27,0.25,1696
D1962,IoT Device,4G,23420,234-20-2768,66,0.52,2493
D1963,Smartphone,4G,23433,234-33-7560,31,0.62,2505
D1964,Tablet,4G,20605,206-05-5091,37,1.47,83
D1965,IoT Device,3G,23430,234-30-8532,144,1.42,621
D1966,Smartphone,3G,23415,234-15-3063,150,0.58,1808
D1967,Smartphone,4G,20620,206-20-8749,60,0.47,2180
D1968,IoT Device,5G,20605,206-05-5871,30,0.39,635
D1969,Tablet,5G,23420,234-20-2204,28,0.29,920
D1970,Smartphone,5G,310480,310-480-8430,11,0.3,2213
D1971,Smartphone,3G,23438,234-38-8684,91,2.07,1753
D1972,IoT Device,5G,24008,240-08-4228,29,0.39,2275
D1973,Smartphone,4G,310120,310-120-8685,54,0.31,2447
D1974,IoT Device,4G,23420,234-20-7815,45,0.14,977
D1975,Smartphone,4G,24007,240-07-6464,37,0.37,608
D1976,Smartphone,5G,310480,310-480-1496,24,0.16,1520
D1977,Smartphone,5G,24002,240-02-4483,14,0.21,2524
D1978,Smartphone,5G,20605,206-05-1659,16,0.21,2241
D1979,IoT Device,3G,24004,240-04-6107,148,3.26,2752
D1980,Tablet,4G,23438,234-38-6962,33,1.09,2249
D1981,Smartphone,3G,310120,310-120-3352,136,1.12,1307
D1982,IoT Device,3G,23410,234-10-6994,111,3.49,2990
D1983,IoT Device,3G,23410,234-10-5689,131,2.08,1573
D1984,Smartphone,4G,23430,234-30-2503,50,1.44,486
D1985,Smartphone,4G,20620,206-20-5161,59,1.38,1339
D1986,Smartphone,3G,23438,234-38-9843,113,2.14,2866
D1987,Tablet,5G,24001,240-01-9935,30,0.4,2103
D1988,Smartphone,4G,24008,240-08-8461,46,0.95,1811
D1989,Smartphone,5G,20620,206-20-7730,16,0.48,2622
D1990,Tablet,5G,310480,310-480-5745,18,0.28,1915
D1991,Smartphone,5G,20601,206-01-9004,17,0.47,2646
D1992,IoT Device,5G,310480,310-480-9238,19,0.39,1502
D1993,IoT Device,5G,310120,310-120-8349,16,0.35,645
D1994,IoT Device,4G,310260,310-260-3986,61,0.54,598
D1995,Smartphone,3G,310410,310-410-3621,114,2.18,2897
D1996,IoT Device,4G,310260,310-260-4302,47,0.5,2647
D1997,IoT Device,3G,23433,234-33-8354,143,2.53,188
D1998,IoT Device,4G,310480,310-480-8632,54,1.35,900
D1999,Smartphone,5G,20610,206-10-7622,22,0.41,1668
